Carbon_kit,Carbon_lab,Nitrogene,Ph,Image_Number
0.644573,0.689117,0.089,6.83,182.jpg
0.363263,0.350956,0.038,7.05,183.jpg
0.890092,0.932627,0.113,6.64,184.jpg
0.992531,1.013504,0.124,6.54,185.jpg
1.768141,1.802093,0.216,6.29,186.jpg
1.058555,1.070633,0.136,6.44,187.jpg
0.129901,0.137145,0.018,7.23,188.jpg
0.504901,0.468127,0.063,6.91,189.jpg
0.711798,0.719572,0.09,6.79,190.jpg
0.272143,0.289176,0.032,7.04,191.jpg
0.841108,0.864301,0.114,6.73,192.jpg
0.49197,0.521433,0.058,6.95,193.jpg
0.259212,0.27677,0.029,7.05,194.jpg
1.022143,1.044029,0.124,6.49,195.jpg
0.815246,0.869556,0.107,6.72,196.jpg
1.18766,1.234158,0.151,6.41,197.jpg
0.145149,0.147293,0.018,7.22,198.jpg
0.71546,0.690653,0.087,6.83,199.jpg
0.610996,0.623987,0.081,6.91,200.jpg
0.46766,0.486911,0.062,6.93,201.jpg
0.690099,0.717857,0.088,6.82,202.jpg
1.304733,1.326214,0.172,6.4,203.jpg
0.33888,0.327225,0.038,7.03,204.jpg
0.602294,0.638345,0.077,6.83,205.jpg
0.807172,0.863801,0.111,6.72,206.jpg
0.62019,0.646184,0.083,6.87,207.jpg
0.33888,0.355191,0.042,7,208.jpg
0.865709,0.89614,0.111,6.74,209.jpg
0.968148,0.998772,0.121,6.58,210.jpg
1.743758,1.809367,0.219,6.28,211.jpg
1.034172,1.018971,0.128,6.49,212.jpg
0.763522,0.797165,0.104,6.75,213.jpg
0.375591,0.385264,0.046,7.03,214.jpg
0.543694,0.568304,0.071,6.89,215.jpg
0.129901,0.137662,0.018,7.22,216.jpg
0.504901,0.462128,0.063,6.94,217.jpg
0.711798,0.675345,0.088,6.86,218.jpg
0.272143,0.286492,0.031,7.01,219.jpg
0.841108,0.863113,0.113,6.7,220.jpg
0.49197,0.518729,0.065,6.89,221.jpg
0.259212,0.274093,0.031,7.05,222.jpg
1.022143,1.064216,0.123,6.48,223.jpg
0.815246,0.841672,0.108,6.76,224.jpg
1.18766,1.214277,0.155,6.42,225.jpg
